Word (EN),Word (TA),English Definition,English example,Tamil Definition,Tamil example,Image url,Domain
Lambda Function,சிறு செயல்பாடு,Lambda is a one-line anonymous function.,lambda x: x*2,பெயர் இல்லாத சுருக்கமான function தான் Lambda.,உடனடி கணக்கு செய்யும் function.,https://intellipaat.com/blog/wp-content/uploads/2025/03/Lambda-Function-in-Python.jpg,Python
Library,செயல்பாட்டு தொகுப்பு,A collection of pre-written code that users can use to optimize tasks.,NumPy for math operations.,முன்னமே எழுதப்பட்ட useful code தொகுப்பு.,toolbox போல பயன்படுத்துவது.,https://www.atomcamp.com/wp-content/uploads/2024/03/python_standard_libraries-1.png,Python
List,பட்டியல்,List stores multiple values in a single variable and is changeable.,"marks = [80, 90, 75]",பல மதிப்புகளை ஒரே இடத்தில் சேமிக்கும் மாற்றக்கூடிய தொகுப்பு.,மாணவர் மதிப்பெண் பட்டியல்.,https://www.programiz.com/sites/tutorial2program/files/python-list-index.png,Python
List Comprehension,பட்டியல் சுருக்க உருவாக்கம்,A short way to create lists using loop and condition in one line.,"[x for x in range(1,6)]",ஒரே வரியில் loop பயன்படுத்தி பட்டியல் உருவாக்கும் முறை.,1 முதல் 5 வரை எண்களை ஒரே வரியில் பட்டியலாக்குவது.,https://scaler.com/topics/images/list-comprehenstion.webp,Python
Logging,செயல்பாட்டு பதிவு,The process of recording events or messages during program execution.,Saving error logs to a .log file.,program நடந்ததை file-ல் பதிவு செய்வது.,CCTV footage சேமிப்பது போல.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRdBUcKCWPyXqnutEvkcBkSp2HH98X-_v2n1Q&s,Python
Loop,மீளச்சுழற்சி,Loop repeats a block of code multiple times.,Printing numbers 1 to 10.,ஒரே code பலமுறை இயங்க செய்யும் அமைப்பு Loop.,1 முதல் 10 வரை print செய்வது.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQCd7NYfHaIqUHEuQ1cMq31F-a7x-ieUYopAg&s,Python
Match,தொடக்க பொருத்தம்,Checks if the pattern exists only at the beginning of the string.,"re.match(""^A"", name)",text ஆரம்பத்தில் format சரியா பார்ப்பது.,mobile number start check.,,Python
Matplotlib,வரைபட நூலகம்,Used to create graphs and charts for data analysis.,Plotting sales growth chart.,data-வை visual form-ஆ காட்ட பயன்படும் library.,மாதந்தோறும் income graph.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZgMRg7PrzMuK350CSKlZQ6iKGbhPRs9lB4w&s,Python
Memory Management,நினைவக நிர்வாகம்,Handling memory allocation and deallocation efficiently.,Releasing unused space.,RAM-ஐ சரியாக பயன்படுத்துவது.,phone storage smart-ஆ manage செய்வது.,https://media.geeksforgeeks.org/wp-content/uploads/20200421150923/memory-allocation-python-3.jpg,Python
Method,வகுப்பு செயல்பாடு,A method is a function inside a class.,student.display(),class-க்குள் உள்ள function தான் Method.,மாணவர் விவரம் காட்டும் function.,https://techvidvan.com/tutorials/wp-content/uploads/sites/2/2020/04/python-methods-vs-functions.jpg,Python
Middleware,நடுநிலை செயலி,Code that processes requests before they reach the main application.,Authentication or security logging.,request-க்கும் response-க்கும் இடையில் நடக்கும் processing.,security check gate போல.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1gYYDzb5NPqZ6nlEOvwZ_DJab9-ueG4yaxA&s,Python
Migration,தரவு அமைப்பு மாற்றம்,"Version control for database schemas, updating structure over time.",Adding a new column to a user table.,database வடிவத்தை மெதுவாக மாற்றுவது.,new field add செய்வது.,,Python
Module,நிரல் பகுதி,A module is a file containing Python code.,math module,functions மற்றும் variables கொண்ட Python கோப்பு.,math.py பயன்படுத்துதல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRoTGFT7rSuIQgfTgtcBLBsAUzaJeEDVVNCuA&s,Python
Multiprocessing,பல செயலி இயக்கம்,Using multiple CPUs or cores to run tasks in parallel.,Parallel computing.,பல processor வைத்து heavy வேலை செய்வது.,பல worker சேர்ந்து construction செய்வது.,https://cdn.educba.com/academy/wp-content/uploads/2020/02/Python-Multiprocessing-2.jpg,Python
Multithreading,பல செயல்துணை இயக்கம்,Multiple threads running concurrently within a single process.,Music + browsing.,பல வேலை ஒரே நேரத்தில் நடப்பது.,phone-ல் video பார்க்கும் போது download நடப்பது.,https://media.geeksforgeeks.org/wp-content/uploads/20230824111308/multithreading-python-11.png,Python
Mutable,மாற்றக்கூடியது,Objects that can be changed after creation.,List elements updated.,உருவாக்கிய பிறகு மாற்றக்கூடிய data.,shopping list-ல் item add செய்வது.,https://www.boardinfinity.com/blog/content/images/2023/03/Copy-of-Copy-of-Copy-of-Copy-of-Untitled-Design.png,Python
Namespace,பெயர் இடம்,Namespace stores variable and function names to avoid conflicts.,math.pi vs local pi,பெயர்கள் மோதாமல் பிரித்து வைக்கும் அமைப்பு.,math.pi தனியாக இருப்பது.,https://media.geeksforgeeks.org/wp-content/uploads/types_namespace-1.png,Python
Notebook Environment,நோட்புக் வேலை சூழல்,Complete interactive workspace for coding and results.,Jupyter interface.,coding lab போல வேலை செய்யும் இடம்.,digital classroom.,,Python
NumPy,எண் கணக்கீட்டு நூலகம்,Provides fast array operations for numerical and scientific computing.,Calculating average marks using NumPy array.,வேகமாக பெரிய அளவு எண் கணக்குகள் செய்ய பயன்படும் Python library.,ஒரு class-ன் எல்லா marks average சீக்கிரம் கணக்கிடுவது.,https://techvidvan.com/tutorials/wp-content/uploads/sites/2/2020/07/Uses-of-NumPy-1.jpg,Python
Object,உருவகம்,Object is an instance of a class.,s1 = Student(),class-ல் இருந்து உருவாக்கப்பட்ட உண்மை பொருள்.,ஒரு மாணவர் record.,https://media.geeksforgeeks.org/wp-content/uploads/20191212154516/python-objects-2.png,Python
ORM,பொருள்-தரவுத்தள இணைப்பு,Object-Relational Mapping: mapping database tables to Python objects.,Using Django ORM to query data.,SQL இல்லாமல் Python object மூலம் database பயன்படுத்துவது.,table-ஐ class போல பயன்படுத்துதல்.,https://miro.medium.com/v2/resize:fit:640/format:webp/0*3uedj0JV8LWYNc8Q,Python
OS Module,இயங்கு தள தொகுப்பு,Allows interaction with operating system functions like folders and environment.,Creating folders using os.mkdir().,"system files, folders, environment-ஐ access செய்ய உதவும் Python module.",program மூலம் folder உருவாக்குதல்.,,Python
OS Module,இயங்கு தள தொகுப்பு,Allows interaction with operating system functions like folders and environment.,Creating folders using os.mkdir().,"system files, folders, environment-ஐ access செய்ய உதவும் Python module.",program மூலம் folder உருவாக்குதல்.,,Python
Package,நிரல் தொகுப்பு,A package is a collection of modules.,numpy package,பல module-கள் சேர்ந்த தொகுப்பு.,numpy-ல் பல math tools.,https://pythongeeks.org/wp-content/uploads/2021/12/structure-of-packages.webp,Python
Pandas,தரவு பகுப்பாய்வு நூலகம்,"Helps clean, analyze, and manipulate structured data easily.",Reading Excel data using pandas.read_excel().,"data-வை filter, sort, analyze செய்ய மிக சக்திவாய்ந்த tool.",student marks Excel-ஐ Python-ல் analyze செய்வது.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSc0a-zv6GEpG3_XdE8b727lTLwYkBOqAZvZg&s,Python
Parallelism,ஒரே நேர வேலை,Executing multiple tasks at the exact same time on different cores.,Multiple CPU cores.,பல வேலை உண்மையிலேயே ஒரே நேரத்தில் ஓடுவது.,பல cooker-ல் ஒரே நேரத்தில் சமையல்.,https://av-eks-lekhak.s3.amazonaws.com/media/__sized__/article_images/thread1_X9H49tv-thumbnail_webp-600x300.webp,Python
Parameter,உள்ளீட்டு மாறி,Parameter is a variable inside function definition.,"def sum(x, y)",function பெறும் உள்ளீட்டு மதிப்புகளுக்கான பெயரே Parameter.,"x, y என்பது parameter.",,Python
Path Handling,கோப்பு பாதை நிர்வாகம்,Working with file and folder locations in an OS safely and correctly.,Using Python’s os.path or pathlib to open files.,"கோப்பு எங்கு இருக்கிறது, எப்படி அணுகுவது என்பதை சரியாக கையாளும் முறை.",Desktop-ல் இருக்கும் file-ஐ program மூலம் open செய்வது.,,Python
Path Handling,கோப்பு பாதை நிர்வாகம்,Working with file and folder locations in an OS safely and correctly.,Using Python’s os.path or pathlib to open files.,"கோப்பு எங்கு இருக்கிறது, எப்படி அணுகுவது என்பதை சரியாக கையாளும் முறை.",Desktop-ல் இருக்கும் file-ஐ program மூலம் open செய்வது.,,Python
Pattern Matching,வடிவ பொருத்தம்,Finding specific sequences of characters within data.,Word search in a document.,குறிப்பிட்ட எழுத்து வடிவம் தேடுதல்.,roll number format verify.,,Python
Performance Optimization,செயல்திறன் மேம்பாடு,Improving the speed and resource efficiency of a program.,Reducing webpage load time.,software வேகமாக வேலை செய்யச் செய்வது.,slow app fast ஆக மாற்றுதல்.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPt23rxdqFLitC5RBxtZTzwOSGPXIvqjCi8A&s,Python
Pickle,Python தரவு சேமிப்பு முறை,A specific Python module used for serializing and deserializing objects.,"pickle.dump(model, file)",Python object-ஐ நேரடியாக file-ஆ save செய்யும் tool.,game progress save செய்வது போல.,https://media.geeksforgeeks.org/wp-content/uploads/20230925120712/Pickling-In-python-(1).png,Python
pip,Python தொகுப்பு நிறுவி,pip installs and manages Python libraries from the Python Package Index.,pip install numpy,Python package-களை download செய்து install செய்யும் கருவி.,தேவையான software app install செய்வது போல.,,Python
Polymorphism,பல வடிவ செயல்பாடு,Same function behaves differently in different contexts.,len() on list and string.,ஒரே பெயர் பல விதமாக செயல்படுவது.,ஒரே button பல வேலை செய்வது போல.,https://media.geeksforgeeks.org/wp-content/uploads/20250924155521774996/polymorphism_in_java.webp,Python
Profiling,செயல்திறன் ஆய்வு,Analyzing a program to find which parts are slow or use much memory.,CPU and RAM usage analysis.,எங்கு time அதிகம் போகிறது கண்டுபிடித்தல்.,traffic jam spot கண்டுபிடிப்பது போல.,,Python
Python,பைத்தான் நிரல்மொழி,"A high-level, easy-to-read programming language used for web, AI, data science, and automation.",Building a chatbot or machine learning model using Python.,"Python என்பது எளிய syntax கொண்ட சக்திவாய்ந்த நிரல்மொழி; AI, web, automation போன்றவற்றில் அதிகம் பயன்படுத்தப்படுகிறது.",chatbot உருவாக்க Python பயன்படுத்துவது.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRzzmUlXMVD9thu-K5uydbr1FPh8iOSUgRPQ&s,Python
PyTorch,டீப் லெர்னிங் நூலகம்,A flexible deep learning library with dynamic computation graphs.,Training CNN models.,AI research-ல் அதிகம் பயன்படுத்தப்படும் DL tool.,dog image generator model.,https://media.geeksforgeeks.org/wp-content/uploads/20250528153806225331/pytorch-workflow.webp,Python
Raise,பிழை எழுப்பல்,Manually triggers an exception.,raise ValueError,நாமே பிழை உருவாக்க பயன்படுத்துவது.,தவறான input வந்தால் error எழுப்புதல்.,,Python
Read,வாசித்தல்,Retrieves data from a file.,file.read(),கோப்பிலிருந்து தரவை எடுப்பது.,text file content படித்தல்.,,Python
Recursion,தன்னழைப்பு,A function calling itself repeatedly.,Factorial calculation.,function தானே தன்னை அழைக்கும் முறை.,5! கணக்கிட recursion பயன்பாடு.,https://www.programiz.com/sites/tutorial2program/files/python-recursion-function.png,Python
Regular Expression,உரை தேடல் வடிவம்,Finds patterns in text efficiently using special characters.,Finding email addresses in text.,text-ல் குறிப்பிட்ட format கண்டுபிடிக்கும் முறை.,phone number check.,https://cdn.educba.com/academy/wp-content/uploads/2023/07/Python-Regex.jpg,Python
Requests Library,இணைய கோரிக்கை நூலகம்,A simple Python library to send HTTP requests to servers.,requests.get(url),server-க்கு request அனுப்ப உதவும் Python tool.,weather data download.,https://media.geeksforgeeks.org/wp-content/uploads/getpostRequest.png,Python
Requirement File,தேவைக் கோப்பு,A file listing all project dependencies for easy installation.,requirements.txt,project-க்கு தேவையான எல்லா library பெயர்களும் உள்ள file.,shopping list போல தேவைகள் எழுதுவது.,,Python
REST API,இணைய சேவை API,An architectural style for providing standards between computer systems on the web.,GET or POST requests to a server.,internet வழியாக data அனுப்பும் API.,website-ல் login info server-க்கு போவது.,https://pythongeeks.org/wp-content/uploads/2023/06/rest-api-architecture.webp,Python
Return,மீளளிப்பு,Return sends output from function back to program.,return result,function முடிவை வெளியே அனுப்ப பயன்படும் கட்டளை.,கணக்கின் பதில் பெறுதல்.,,Python
Routing,வழி அமைப்பு,The mechanism of mapping URLs to specific code functions.,/login mapping to a login() function.,URL எந்த code run ஆக வேண்டும் என்று தீர்மானிக்கும் முறை.,road signs வழி காட்டுவது போல.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7Ty8foD0F-IE_spu4udSeMUs61VXAAhkXOQ&s,Python
Scikit-learn,மெஷின் லேர்னிங் நூலகம்,Provides ML algorithms for prediction and classification.,Training a spam classifier.,machine learning models உருவாக்க பயன்படும் Python library.,house price predict model.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQkYPkWGjLugUHp_jYdAKfuA3OiinWXJGcEbw&s,Python
SciPy,அறிவியல் கணக்கீட்டு நூலகம்,Provides advanced scientific and mathematical functions.,Signal processing calculations.,engineering & science calculations செய்ய பயன்படும் tool.,wave frequency analysis.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMTG3OzUb48oDxiOHzRwcjroPI7brMfbvIMw&s,Python
Script,நிரல் கோப்பு,A script is a file containing Python code to perform tasks.,A Python file that automates data cleaning.,பல Python commands சேர்த்து எழுதப்பட்ட கோப்பே Script.,ஒரே கிளிக்கில் வேலை செய்யும் program file.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSeHulOZfuOQjn8XqeZWMZyvTudh2K-hEUG1g&s,Python
Search,தேடல்,Looks for a pattern anywhere within the text.,"re.search(""cat"", text)",text முழுவதும் pattern தேடுதல்.,book-ல் word தேடுவது.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNourujsN9t1E5Dwqb9CkppUlu30Ad4QEt-w&s,Python
Serialization,தரவு மாற்றம்,Converting an object into a format that can be stored or transmitted.,Saving a Python object as a JSON string.,memory-ல் இருக்கும் data-வை file-ஆ மாற்றுவது.,photo save செய்வது போல.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTGYAd70JcE5R6VlNH-O37n5f-MoA6lyoNPw&s,Python
Series,ஒற்றை நெடுவரிசை தொகுப்பு,Represents a single column of data within a DataFrame.,List of student ages.,ஒரே column data கொண்ட Pandas structure.,ஒரு subject-க்கு marks list.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQIRIN2juqgvssiCiREEeWeV5wMzpAhkg0qOw&s,Python
Set,தனித்த தொகுப்பு,Set stores unique values without duplicates.,"{1, 2, 3}",மீண்டும் வராத மதிப்புகளை மட்டும் வைத்திருக்கும் தொகுப்பு.,தனித்துவமான ரோல் எண்கள்.,https://media.geeksforgeeks.org/wp-content/uploads/20251107113108153549/index_value_pair_in_hash_table_2.webp,Python
Set Comprehension,தொகுப்பு சுருக்க உருவாக்கம்,Creates unique values collection in one line.,"{x for x in [1,2,2,3]}",மீண்டும் வராத மதிப்புகளை ஒரே வரியில் உருவாக்குவது.,repeat ஆகாத roll number list உருவாக்குதல்.,https://cdn.programiz.com/sites/tutorial2program/files/Python-dictionary-comprehension.png,Python
Shallow Copy,மேல்மட்ட நகல்,"Copies only outer object, inner elements are shared.",copy.copy(list),உள்ளே இருக்கும் data share ஆகும் copy.,ஒரே notebook இரண்டு பேரு பயன்படுத்துவது போல.,https://pythongeeks.org/wp-content/uploads/2023/02/shallow-copy-python.webp,Python
Slicing,பகுதி வெட்டல்,Extracting a portion of data sequence.,list[1:3],ஒரு தொகுப்பிலிருந்து சில பகுதியை மட்டும் எடுப்பது Slicing.,நடுத்தர மதிப்புகள் எடுப்பது.,https://www.boardinfinity.com/blog/content/images/2023/03/Copy-of-Copy-of-Copy-of-Copy-of-Copy-of-Copy-of-Copy-of-Copy-of-Copy-of-Untitled-Design--2-.png,Python
Socket Programming,நெட்வொர்க் இணைப்பு நிரலாக்கம்,Enables communication between computers over a network.,Building a chat application.,internet மூலம் இரண்டு கணினி பேசும் முறை.,WhatsApp message server-க்கு போவது.,https://files.realpython.com/media/sockets-tcp-flow.1da426797e37.jpg,Python
Space Complexity,நினைவக செலவு அளவு,A measure of the amount of memory an algorithm uses.,Storing extra arrays in RAM.,program எவ்வளவு RAM பயன்படுத்துகிறது.,big data → more memory.,https://cdn.prod.website-files.com/5ef788f07804fb7d78a4127a/6245a8c2443d106c5683ba96_Engati-Space-complexity.jpg,Python
SQL Query,தரவு கேள்வி கட்டளை,Commands used to retrieve or modify data in a relational database.,SELECT * FROM students,database-ல் data எடுக்க அல்லது மாற்றும் command.,marks list எடுப்பது.,,Python
String,எழுத்துத் தொடர்,String stores text data.,name = 'Siva',எழுத்துகள் அல்லது சொற்கள் கொண்ட தரவுதான் String.,"பெயர் = ""Ganesh""",https://techvidvan.com/tutorials/wp-content/uploads/2019/12/python-strings.jpg,Python
Substitution,மாற்றீடு,Replaces matched text patterns with new content.,"re.sub(""bad"", ""good"", text)",text-ல் தவறான வார்த்தை மாற்றுவது.,censored words replace.,,Python
System Call,முறைமை அழைப்பு,Allows programs to request services from the operating system kernel.,"Opening files, creating processes.",program OS-யிடம் வேலை செய்ய அனுமதி கேட்பது.,file save செய்ய OS உதவி பெறுவது.,https://media.geeksforgeeks.org/wp-content/uploads/20250124123632394421/introduction_to_system_call.webp,Python
System Call,முறைமை அழைப்பு,Allows programs to request services from the operating system kernel.,"Opening files, creating processes.",program OS-யிடம் வேலை செய்ய அனுமதி கேட்பது.,file save செய்ய OS உதவி பெறுவது.,https://media.geeksforgeeks.org/wp-content/uploads/20250124123632394421/introduction_to_system_call.webp,Python
TensorFlow,டீப் லெர்னிங் கட்டமைப்பு,Builds and trains neural networks efficiently.,Image recognition system.,AI & deep learning system உருவாக்க சக்திவாய்ந்த framework.,face unlock technology.,https://media.geeksforgeeks.org/wp-content/uploads/20250520101918894030/tensorflow_graph.webp,Python
Test Case,சோதனை நிலை,A set of conditions or variables under which a tester determines if a system works.,Input 2+3 → Expected Output 5.,என்ன கொடுத்தால் என்ன வர வேண்டும் என்ற சோதனை.,calculator test செய்வது போல.,,Python
Thread,செயல்துணை,Smallest unit of execution within a process.,Downloading file in background.,ஒரு program-க்குள் ஓடும் சிறு வேலை.,song play ஆகும் போது message load ஆகுவது.,https://www.stratascratch.com/_next/image?url=https%3A%2F%2Fcdn.sanity.io%2Fimages%2Foaglaatp%2Fproduction%2F6a048b766fc89a0147c28d8fe895b61ebc2f81a0-1200x800.png&w=3840&q=75,Python
